Poisonous,Cap-shape,Cap-surface,Cap-color,Bruises,Odor,Gill-attachment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-type,Veil-color,Ring-number,Ring-type,Spore-print-color,Population,Habitat,epsilon
p,s,y,r,t,y,a,c,n,o,e,r,y,f,y,p,p,n,n,p,b,v,l,2.0
e,b,s,p,f,a,f,c,n,w,t,r,s,y,e,p,p,n,o,p,h,s,w,2.0
p,x,s,n,t,p,a,w,b,b,t,e,k,f,e,p,p,w,o,l,y,y,w,2.0
p,s,y,p,f,c,f,w,b,p,e,?,k,f,y,e,p,y,n,f,u,y,m,2.0
p,k,f,c,f,a,f,c,n,y,e,r,s,k,e,n,p,o,n,e,h,c,u,2.0
p,f,y,u,t,c,a,c,b,u,t,b,y,k,p,b,p,w,o,p,h,v,m,2.0
p,f,g,p,t,a,f,w,b,b,e,b,k,f,e,p,p,w,t,p,n,y,p,2.0
e,s,s,w,f,l,a,c,n,w,e,?,s,y,b,n,p,o,n,n,u,c,g,2.0
e,k,f,n,t,l,a,c,b,o,e,e,k,k,w,n,p,y,n,l,u,s,u,2.0
e,x,s,p,f,f,f,w,n,p,e,?,f,s,c,p,p,o,n,e,h,c,p,2.0
p,k,y,e,f,y,f,c,b,p,t,b,k,k,g,g,p,w,o,l,o,a,p,2.0
p,s,f,u,t,s,a,c,b,r,e,c,y,k,n,c,p,y,o,l,o,a,l,2.0
p,f,f,r,f,m,f,w,n,o,t,r,s,f,y,o,p,y,t,p,u,y,l,2.0
p,c,s,w,t,m,f,c,n,y,t,?,k,f,p,w,p,y,n,n,n,v,d,2.0
e,f,y,n,t,a,a,w,n,k,e,e,k,f,p,p,p,n,o,n,k,s,l,2.0
e,s,f,r,f,a,f,w,n,r,e,?,y,k,n,p,p,o,o,n,h,n,u,2.0
p,c,y,e,t,y,a,w,b,p,t,b,s,k,o,p,p,y,t,l,h,n,w,2.0
p,x,s,y,f,y,a,w,n,h,t,b,k,s,p,w,p,w,t,n,y,c,m,2.0
p,c,g,e,f,a,a,w,b,u,t,r,f,k,e,w,p,n,n,e,u,a,d,2.0
e,b,y,b,f,n,a,c,n,w,e,r,y,s,e,b,p,w,n,l,u,n,u,2.0
p,f,f,c,t,p,a,c,n,b,t,r,y,y,p,g,p,n,t,p,n,y,m,2.0
p,x,y,g,t,c,a,c,b,w,t,r,y,s,w,y,p,w,o,e,w,s,g,2.0
p,s,f,y,f,m,a,c,b,o,t,b,s,s,b,p,p,y,t,p,h,y,m,2.0
e,k,s,g,f,c,f,w,n,g,t,?,k,s,e,n,p,o,n,p,b,c,m,2.0
e,k,f,r,f,c,f,w,n,r,e,b,f,k,c,o,p,y,o,p,k,y,w,2.0
e,k,y,g,t,c,f,w,n,w,e,b,y,y,p,o,p,w,o,l,n,n,m,2.0
e,s,y,e,t,m,f,w,b,e,t,?,y,s,e,w,p,y,o,p,k,n,d,2.0
e,k,g,b,t,p,a,c,n,r,e,r,f,f,n,y,p,o,t,f,o,n,m,2.0
e,x,y,p,t,s,f,c,b,p,e,r,f,y,c,p,p,y,o,l,b,y,p,2.0
p,f,g,p,f,a,a,w,b,w,t,c,s,f,e,e,p,n,n,e,u,a,g,2.0
e,x,s,g,f,m,f,w,b,e,e,c,s,s,g,y,p,w,o,e,y,c,p,2.0
e,f,f,g,f,c,a,c,n,y,e,?,y,k,w,y,p,o,n,e,h,a,u,2.0
e,f,s,u,f,s,f,c,n,e,t,r,f,s,b,o,p,w,t,l,b,s,u,2.0
e,c,g,u,t,c,f,c,n,k,t,b,s,k,g,p,p,y,t,n,b,a,w,2.0
p,b,y,w,t,a,a,c,n,n,t,b,y,f,g,c,p,o,t,p,k,y,w,2.0
e,b,g,e,t,c,a,w,b,b,t,e,y,s,y,y,p,w,n,e,h,c,u,2.0
e,s,g,y,f,c,a,c,n,n,e,c,s,f,c,b,p,o,t,f,n,y,w,2.0
e,s,f,y,f,p,f,w,n,w,t,?,s,k,n,p,p,w,o,l,o,a,w,2.0
e,b,y,y,t,s,f,w,n,k,e,c,f,y,b,p,p,w,n,e,n,a,w,2.0
e,c,y,y,t,n,f,w,b,e,e,b,s,s,e,c,p,n,o,l,y,n,w,2.0
p,k,s,w,t,n,a,c,b,h,e,e,s,f,e,w,p,n,o,l,w,y,l,2.0
e,f,y,w,f,s,f,c,b,e,t,e,k,y,g,y,p,o,n,l,b,a,g,2.0
e,s,s,w,t,m,f,w,n,n,e,?,s,s,c,e,p,n,o,l,b,s,w,2.0
e,f,f,r,t,f,f,c,n,w,e,b,s,k,c,w,p,n,n,e,y,y,g,2.0
e,c,s,y,f,c,a,w,n,r,e,c,s,s,n,c,p,n,n,p,u,y,w,2.0
e,b,g,y,t,c,a,w,n,n,t,r,f,k,o,e,p,o,t,p,u,s,m,2.0
p,s,f,g,t,l,f,w,b,p,e,e,y,s,p,g,p,o,t,l,k,s,d,2.0
p,x,f,n,t,l,a,c,n,n,e,e,f,k,y,c,p,y,n,n,u,s,p,2.0
p,f,g,p,f,f,a,w,n,y,t,r,k,s,n,g,p,o,n,e,h,c,u,2.0
p,b,s,b,f,s,f,c,b,e,t,b,s,k,y,n,p,o,n,p,u,y,p,2.0
p,k,s,n,t,s,a,w,n,w,e,e,f,s,n,c,p,y,o,n,r,c,w,2.0
p,k,y,b,f,m,a,w,n,n,e,b,k,k,p,p,p,n,t,l,o,y,m,2.0
e,s,f,n,f,p,f,w,b,k,e,b,k,k,y,c,p,n,o,e,b,n,l,2.0
e,k,g,c,t,m,f,w,n,b,t,b,y,y,g,p,p,y,n,l,h,n,l,2.0
e,b,s,g,f,y,a,w,n,u,e,c,s,k,n,p,p,y,o,l,h,y,m,2.0
e,c,s,c,f,y,f,c,b,b,e,e,y,f,e,c,p,n,n,e,r,a,l,2.0
e,x,f,w,f,p,f,c,b,o,t,b,y,f,w,g,p,n,n,e,y,a,l,2.0
p,x,s,w,t,p,f,w,n,r,t,r,y,y,p,o,p,n,n,e,n,n,g,2.0
p,c,s,c,f,a,a,c,b,g,e,?,f,y,y,y,p,n,t,n,o,a,u,2.0
e,s,s,b,f,m,a,w,b,k,t,?,f,y,p,w,p,n,n,p,b,n,u,2.0
e,b,f,u,f,l,a,c,b,w,t,c,y,k,o,e,p,w,n,p,n,a,l,2.0
p,f,g,y,t,l,a,c,b,u,t,b,f,f,y,y,p,n,t,p,o,s,l,2.0
e,k,s,n,t,s,a,c,b,o,t,?,f,y,b,g,p,o,t,e,w,c,m,2.0
p,s,s,w,f,y,a,w,n,y,e,?,k,y,g,p,p,o,n,p,u,a,m,2.0
p,x,g,e,f,y,f,c,n,n,e,e,k,k,y,p,p,o,t,f,y,n,m,2.0
p,k,f,w,t,n,a,w,n,p,e,b,y,y,p,o,p,n,o,f,w,y,g,2.0
p,x,s,c,t,n,a,c,b,k,e,e,y,f,w,c,p,y,t,l,b,y,d,2.0
e,c,f,p,t,a,a,w,n,k,e,b,y,f,c,e,p,n,t,e,y,s,w,2.0
e,b,s,r,t,a,a,w,b,b,t,c,s,k,n,b,p,y,n,p,b,y,g,2.0
p,b,s,u,f,a,a,w,n,k,e,?,s,f,e,p,p,n,n,l,y,c,u,2.0
e,f,f,w,f,l,f,c,n,o,t,e,y,k,y,o,p,w,o,p,w,a,l,2.0
e,x,g,n,t,s,a,w,n,r,t,b,s,k,p,p,p,o,n,p,r,s,d,2.0
e,b,y,u,t,a,a,c,b,b,t,r,k,f,n,o,p,y,o,e,r,s,p,2.0
p,x,g,b,f,s,a,w,b,g,t,b,f,y,c,g,p,o,o,n,o,y,m,2.0
p,b,f,y,f,y,f,w,n,k,e,b,k,y,y,g,p,y,o,l,w,v,w,2.0
p,x,s,n,f,n,a,w,b,w,t,r,s,s,p,c,p,w,n,l,k,c,d,2.0
e,f,g,c,t,c,f,w,n,r,t,r,k,f,g,c,p,y,o,n,o,c,m,2.0
p,k,s,p,f,l,a,c,n,p,t,?,y,s,w,w,p,o,n,e,n,c,m,2.0
p,s,f,g,f,s,f,c,b,y,e,e,s,k,n,e,p,o,n,e,k,a,p,2.0
p,s,s,b,f,s,f,w,b,e,e,?,k,f,c,e,p,n,o,n,u,c,p,2.0
p,f,g,b,f,p,a,w,n,y,e,b,s,y,n,y,p,o,n,p,k,n,p,2.0
p,x,f,n,t,p,a,c,b,n,t,c,f,y,e,g,p,y,n,l,o,a,d,2.0
p,x,y,c,t,l,a,c,b,b,e,r,k,s,p,y,p,y,t,n,u,c,m,2.0
p,b,y,b,f,s,a,c,b,n,e,?,y,y,o,n,p,y,t,n,u,c,l,2.0
e,c,s,b,t,m,f,w,n,y,t,e,f,y,n,g,p,y,o,p,u,y,g,2.0
e,b,s,e,f,m,a,c,b,g,e,e,y,s,b,y,p,o,o,f,o,c,p,2.0
p,c,s,b,f,c,a,w,b,o,t,c,s,s,w,n,p,y,n,e,y,y,g,2.0
e,f,y,n,f,f,a,w,b,k,e,r,k,f,c,w,p,w,o,n,y,v,u,2.0
e,b,f,p,t,c,f,c,n,b,e,c,f,f,w,e,p,n,o,l,y,a,u,2.0
p,k,f,p,t,a,f,c,b,b,t,?,y,k,o,y,p,y,t,n,u,y,m,2.0
p,b,f,c,t,n,a,c,b,k,t,b,k,k,c,c,p,y,t,e,r,y,p,2.0
p,b,g,r,f,s,f,w,b,u,e,b,k,y,c,y,p,o,o,p,h,c,u,2.0
e,c,f,e,t,a,f,w,n,p,e,c,f,y,g,c,p,y,o,p,b,n,u,2.0
p,f,f,e,f,p,a,w,n,g,e,?,y,k,p,n,p,n,t,e,b,c,g,2.0
e,s,g,y,f,a,a,c,b,w,t,r,k,y,o,e,p,w,t,n,o,y,g,2.0
p,f,s,b,f,m,f,w,n,g,t,b,k,y,w,g,p,o,o,p,r,s,l,2.0
p,k,f,r,f,m,a,c,n,b,e,b,y,f,p,p,p,o,o,e,h,c,d,2.0
e,c,s,w,f,f,a,w,n,u,e,r,k,k,c,o,p,o,t,l,o,y,l,2.0
e,s,f,u,t,l,a,c,n,o,t,?,s,f,w,y,p,n,o,p,o,n,m,2.0
p,f,g,u,f,m,f,c,b,o,t,c,s,f,c,c,p,y,n,p,n,c,m,2.0
p,c,y,c,f,c,f,w,b,g,e,b,s,k,y,o,p,o,o,p,n,n,m,2.0
p,c,s,w,t,p,f,c,b,g,t,b,s,f,c,c,p,y,n,p,u,n,p,2.0
e,s,y,n,f,y,a,c,b,b,t,b,f,y,e,o,p,n,o,f,b,v,u,2.0
p,f,g,b,t,n,f,w,b,g,t,c,s,k,y,n,p,o,n,f,h,a,d,2.0
p,s,s,y,t,s,f,c,b,b,t,c,y,k,c,b,p,w,o,p,r,n,u,2.0
p,x,g,p,f,p,f,c,b,o,t,c,y,f,w,p,p,o,o,e,n,v,u,2.0
p,f,g,c,f,y,a,w,n,e,t,?,s,k,g,n,p,y,t,n,b,v,p,2.0
p,f,g,c,f,f,a,w,b,w,t,?,y,s,o,n,p,w,t,n,n,c,d,2.0
e,s,y,y,t,s,a,w,n,w,e,r,f,k,y,g,p,y,o,e,o,n,u,2.0
p,f,y,w,t,f,f,c,n,b,e,r,y,y,b,p,p,y,o,e,h,y,w,2.0
e,c,f,y,f,m,a,w,n,o,e,r,y,y,w,o,p,w,o,f,o,c,l,2.0
e,b,y,c,f,p,a,w,n,h,t,c,k,s,e,n,p,w,n,p,b,c,l,2.0
e,s,g,u,f,s,a,w,b,b,e,e,y,s,o,e,p,w,t,e,k,v,d,2.0
p,s,y,w,t,n,f,c,n,y,t,e,f,k,y,w,p,y,o,l,h,y,l,2.0
e,f,f,p,f,c,f,c,b,r,t,r,s,f,w,c,p,w,o,l,k,y,m,2.0
p,b,y,y,f,n,f,w,n,h,e,c,y,y,w,p,p,w,t,n,b,v,g,2.0
p,k,y,g,f,y,a,c,n,b,t,r,y,k,c,n,p,o,n,f,n,v,g,2.0
p,k,s,b,t,p,a,c,b,p,e,c,f,f,e,p,p,o,o,f,b,c,m,2.0
e,c,y,r,t,l,a,c,b,h,e,b,s,f,o,y,p,y,t,p,k,c,w,2.0
p,s,g,r,t,p,f,w,n,g,e,c,k,s,b,g,p,w,n,p,r,y,u,2.0
p,s,y,w,t,y,a,c,b,n,e,?,k,f,b,c,p,n,o,e,y,v,g,2.0
p,k,f,g,f,p,a,w,n,k,t,b,y,s,y,y,p,y,n,p,u,n,m,2.0
p,b,s,b,t,n,a,c,b,h,t,c,s,f,p,y,p,n,t,e,y,c,g,2.0
e,s,f,w,t,f,a,c,n,u,t,e,y,y,e,p,p,n,o,n,y,v,m,2.0
e,k,y,r,f,l,a,c,n,p,e,r,s,y,w,w,p,y,n,l,w,n,d,2.0
p,b,f,p,t,c,a,c,n,w,t,c,y,s,g,b,p,o,t,l,w,s,u,2.0
p,f,s,b,f,l,f,c,b,g,e,r,s,f,n,g,p,w,t,n,h,a,d,2.0
e,x,f,p,t,n,a,w,n,g,t,e,f,s,y,e,p,n,n,l,k,y,u,2.0
p,x,f,e,f,m,f,c,b,o,t,?,k,s,c,n,p,n,t,l,r,a,u,2.0
e,c,y,e,t,y,a,c,b,b,e,b,f,s,e,c,p,o,t,p,b,s,m,2.0
p,s,s,n,f,l,f,c,b,r,t,r,s,s,c,b,p,y,o,e,w,n,g,2.0
e,b,g,e,f,l,a,c,n,y,t,e,f,k,g,w,p,n,t,f,u,y,m,2.0
e,k,f,c,f,p,f,w,n,y,t,r,y,y,b,g,p,n,t,e,o,v,g,2.0
p,b,s,r,f,f,f,w,b,n,t,r,k,k,p,p,p,o,n,l,w,s,l,2.0
p,s,f,c,f,n,f,c,n,k,e,r,y,k,y,c,p,n,n,e,o,s,l,2.0
e,s,y,b,t,a,a,c,b,r,e,r,y,y,c,b,p,y,n,f,u,y,m,2.0
e,k,g,w,f,y,f,c,n,h,e,e,s,s,c,g,p,w,t,n,k,s,g,2.0
p,f,g,n,f,l,f,w,n,y,t,?,s,s,b,e,p,n,o,n,h,v,u,2.0
p,k,g,r,t,f,a,c,b,w,t,r,s,k,p,b,p,y,t,n,u,y,g,2.0
p,c,s,u,f,f,f,c,n,y,t,e,f,f,c,n,p,o,o,p,h,s,p,2.0
p,s,f,e,t,p,f,c,b,n,e,b,y,k,c,y,p,y,o,n,k,c,w,2.0
e,x,y,c,f,n,f,c,n,k,e,e,k,y,n,c,p,n,t,n,n,a,u,2.0
p,x,y,g,f,f,f,c,b,w,e,e,y,s,y,p,p,w,o,n,k,y,m,2.0
p,c,g,e,f,y,f,w,b,r,e,c,y,k,o,y,p,y,t,l,u,c,l,2.0
e,s,s,e,f,c,f,w,n,g,t,e,s,k,n,p,p,y,t,n,w,v,g,2.0
p,s,f,e,t,p,a,c,n,o,e,b,y,k,w,w,p,n,n,l,y,a,g,2.0
p,x,y,c,f,f,f,c,b,n,t,e,f,s,n,c,p,w,n,f,r,a,w,2.0
e,k,s,u,t,m,f,c,b,r,t,c,y,f,p,g,p,w,n,f,k,v,m,2.0
p,c,s,c,f,y,f,w,b,p,t,c,f,s,o,e,p,n,t,l,y,v,l,2.0
p,k,f,e,f,m,f,c,n,g,t,e,k,s,o,o,p,y,o,l,u,v,p,2.0
p,s,g,w,t,s,f,w,b,r,t,c,s,k,p,b,p,y,n,n,h,v,p,2.0
e,k,y,c,f,n,f,w,b,p,e,?,f,f,g,b,p,n,n,e,h,y,u,2.0
e,x,f,n,f,c,a,w,n,p,e,b,k,y,g,o,p,w,o,l,w,a,u,2.0
e,b,g,p,t,s,f,c,b,g,e,c,k,f,o,o,p,n,o,e,b,s,p,2.0
p,f,g,n,f,f,f,w,b,p,t,?,y,f,p,o,p,y,t,f,u,n,m,2.0
e,f,y,y,f,m,f,w,b,e,t,r,f,y,w,y,p,n,n,e,k,a,w,2.0
e,f,f,u,t,p,f,w,b,y,t,b,f,y,b,g,p,o,o,l,y,c,g,2.0
e,f,y,u,f,n,a,w,b,h,t,r,k,f,g,y,p,n,t,l,w,n,u,2.0
p,b,y,r,t,a,f,w,b,o,e,b,f,y,e,w,p,y,n,l,o,c,l,2.0
p,f,f,g,f,n,f,c,n,h,e,b,y,s,e,n,p,w,t,f,b,y,m,2.0
e,b,g,c,f,a,f,c,n,n,e,c,k,y,y,w,p,y,n,p,y,y,w,2.0
p,c,s,e,t,l,f,c,b,o,t,b,s,f,c,c,p,y,n,n,k,s,m,2.0
p,s,s,w,f,c,f,c,b,y,t,b,s,k,g,o,p,y,t,f,n,v,g,2.0
p,f,f,n,t,y,f,c,b,g,e,e,f,k,n,e,p,n,n,n,u,c,p,2.0
p,f,g,w,t,c,f,c,b,n,e,c,y,f,p,y,p,w,t,e,n,c,w,2.0
e,c,y,y,f,a,f,c,b,b,t,c,k,y,n,g,p,n,t,p,h,c,d,2.0
p,b,g,b,t,m,a,w,b,o,t,c,y,y,w,o,p,o,t,e,r,s,p,2.0
e,k,f,e,t,y,a,w,n,g,e,c,s,k,g,y,p,n,n,l,k,c,g,2.0
p,c,s,r,f,y,f,c,b,o,e,c,f,f,p,c,p,w,t,l,y,s,d,2.0
p,k,y,y,f,y,f,w,n,g,e,?,y,k,p,p,p,o,o,n,n,s,l,2.0
e,f,y,g,f,n,a,c,n,p,e,?,k,s,o,w,p,n,n,f,r,c,m,2.0
e,k,s,n,f,a,a,w,b,e,e,?,f,s,o,e,p,w,n,p,b,n,l,2.0
p,f,y,y,f,l,f,w,b,h,t,e,s,f,o,b,p,o,n,e,n,s,p,2.0
p,s,g,p,t,f,f,c,b,e,t,r,y,s,o,y,p,n,t,p,h,s,p,2.0
p,s,s,b,t,c,a,w,n,n,t,?,s,s,w,g,p,w,t,n,u,a,d,2.0
e,b,s,u,f,a,f,w,b,r,e,b,k,f,o,n,p,y,o,n,o,s,l,2.0
e,x,s,w,f,s,a,w,b,b,t,e,s,y,n,c,p,n,n,p,r,s,w,2.0
p,x,f,c,t,y,a,c,b,o,t,?,s,y,o,g,p,n,t,l,y,a,g,2.0
p,s,s,r,t,c,f,c,n,h,t,r,f,f,n,w,p,y,o,p,h,a,m,2.0
p,f,y,c,t,c,f,w,b,h,t,c,f,f,w,p,p,w,n,e,n,n,m,2.0
e,b,f,p,t,p,a,w,b,u,e,c,k,k,w,p,p,w,n,p,k,a,l,2.0
p,x,s,n,f,n,a,c,n,e,t,b,y,s,y,e,p,y,o,l,r,s,g,2.0
p,b,g,r,f,p,f,w,b,n,e,b,f,k,c,g,p,y,n,l,y,v,u,2.0
p,c,g,p,t,a,a,c,b,n,e,?,f,s,p,e,p,o,n,l,o,y,g,2.0
e,k,s,b,t,m,a,c,n,p,t,b,f,s,o,g,p,o,o,n,w,y,g,2.0
p,s,y,u,t,m,a,w,b,w,e,?,s,k,w,w,p,n,t,n,h,v,u,2.0
p,f,g,w,t,f,f,w,n,r,e,e,s,y,p,c,p,w,o,l,r,c,w,2.0
e,f,s,r,f,a,f,c,b,u,e,r,k,y,y,y,p,n,o,n,k,y,m,2.0
e,b,f,c,t,l,a,w,n,e,t,c,f,k,o,o,p,o,n,n,w,y,p,2.0
e,k,g,r,f,n,f,c,b,u,t,e,s,k,e,o,p,o,n,f,n,v,m,2.0
p,b,f,c,t,n,a,c,n,p,t,?,k,y,c,n,p,o,t,n,r,n,d,2.0
e,x,g,e,f,n,f,w,b,r,e,e,f,y,o,y,p,y,n,f,o,v,m,2.0
p,s,g,r,f,s,a,w,b,g,e,?,s,f,c,b,p,o,n,p,r,y,p,2.0
e,f,y,p,f,m,f,c,n,b,e,c,y,y,y,n,p,o,n,f,n,y,l,2.0
p,x,g,w,f,y,a,w,n,k,t,b,y,y,o,p,p,o,n,n,o,a,m,2.0
e,c,f,r,t,c,f,w,n,k,t,c,f,k,o,y,p,n,o,f,w,c,w,2.0
p,f,s,n,f,y,f,w,b,b,e,?,f,k,y,n,p,w,n,p,o,a,p,2.0
p,x,g,g,f,p,a,c,n,e,e,b,f,s,p,b,p,y,o,e,n,s,g,2.0
e,b,f,c,t,p,a,w,b,u,t,e,k,k,g,y,p,n,t,e,r,a,w,2.0
p,s,y,w,t,f,a,c,n,b,t,e,k,s,o,e,p,y,n,e,w,y,p,2.0
p,k,s,y,f,s,f,c,n,b,e,e,s,y,n,o,p,y,t,l,y,y,l,2.0
e,b,f,p,f,m,f,w,n,b,t,r,s,f,b,p,p,y,o,l,h,a,u,2.0
p,k,f,w,f,n,a,c,b,u,e,r,k,y,g,c,p,w,o,f,k,y,l,2.0
e,f,f,b,f,a,f,c,b,e,e,b,k,y,n,e,p,o,n,f,u,y,m,2.0
e,b,f,p,t,m,f,c,n,k,e,r,y,y,o,p,p,o,t,e,w,v,d,2.0
e,c,g,w,t,s,a,w,b,n,e,?,k,k,w,w,p,w,t,l,n,a,l,2.0
e,s,f,p,t,c,a,w,b,w,e,r,y,y,c,g,p,n,o,f,r,v,p,2.0
e,b,s,y,f,s,a,w,n,b,t,?,y,s,e,n,p,n,n,f,w,s,w,2.0
p,f,f,e,t,l,a,w,b,h,e,c,y,y,n,e,p,y,t,f,u,y,g,2.0
p,c,f,w,t,m,f,w,b,b,t,e,k,k,w,e,p,n,n,n,y,a,d,2.0
p,c,y,e,t,p,a,w,b,r,e,b,k,s,o,w,p,n,t,n,o,v,l,2.0
e,c,g,n,f,p,a,w,n,k,t,r,f,f,y,y,p,o,t,f,k,a,w,2.0
e,b,g,u,t,f,f,c,n,h,e,c,k,f,c,w,p,n,n,p,w,v,m,2.0
p,b,s,n,t,p,a,c,b,h,e,b,f,y,b,p,p,y,n,l,r,v,p,2.0
p,x,y,y,f,l,a,w,b,u,e,?,f,f,e,w,p,o,n,f,r,a,d,2.0
e,x,y,e,t,c,a,c,b,h,e,b,y,y,g,g,p,y,o,l,o,v,u,2.0
p,c,g,c,t,s,a,c,b,y,t,c,k,s,y,n,p,w,o,n,w,y,p,2.0
p,x,s,y,f,p,a,w,n,w,t,c,k,y,b,y,p,y,o,p,o,y,d,2.0
e,x,f,g,f,p,a,w,n,k,e,b,s,f,w,c,p,n,n,l,y,a,w,2.0
e,f,f,n,t,p,a,c,n,r,e,c,k,y,e,w,p,y,t,n,k,c,w,2.0
e,b,f,b,f,p,f,w,n,p,e,?,y,f,e,b,p,n,n,f,w,n,w,2.0
e,c,f,y,t,m,a,c,n,g,t,r,k,s,c,p,p,n,n,n,n,s,g,2.0
e,b,g,u,f,m,f,w,b,u,e,c,k,s,b,o,p,n,n,e,u,s,p,2.0
p,f,s,y,t,n,a,c,n,b,e,e,s,f,g,n,p,y,n,p,k,v,g,2.0
p,k,g,g,t,y,f,c,n,g,e,r,f,k,n,b,p,w,o,l,u,s,d,2.0
p,k,s,w,t,m,f,w,b,r,t,e,s,s,b,p,p,w,o,e,y,c,u,2.0
p,b,g,r,f,l,f,w,n,u,t,e,y,s,y,p,p,o,t,f,w,y,u,2.0
e,x,y,g,f,s,a,c,b,r,t,e,f,y,p,p,p,w,t,n,r,v,g,2.0
p,x,f,b,t,n,f,c,b,b,t,r,f,y,e,b,p,w,n,e,y,v,g,2.0
p,f,y,y,t,y,a,c,n,n,e,b,s,f,c,y,p,n,t,p,k,v,m,2.0
p,s,y,e,f,f,f,c,b,e,e,b,y,s,p,c,p,y,t,p,y,a,m,2.0
p,f,y,e,t,c,f,c,b,e,e,e,k,k,g,p,p,y,t,l,r,s,w,2.0
e,c,f,g,f,s,f,c,n,e,e,?,y,k,y,c,p,n,o,p,r,c,d,2.0
p,x,g,w,f,a,f,c,b,e,e,c,s,y,n,e,p,n,n,e,b,y,m,2.0
p,f,f,r,f,y,f,w,b,u,t,c,f,s,w,o,p,n,t,n,o,y,w,2.0
p,x,s,u,t,c,f,c,n,b,t,?,s,k,c,n,p,o,n,f,u,a,m,2.0
p,x,g,b,f,c,f,c,n,y,e,c,s,s,o,c,p,y,n,n,w,v,p,2.0
e,f,g,w,f,f,a,c,b,e,t,r,k,y,b,b,p,n,o,e,o,a,p,2.0
e,b,f,p,t,l,f,c,n,n,t,b,f,k,o,o,p,w,t,e,r,a,g,2.0
e,c,f,g,f,c,a,w,b,w,e,b,k,y,n,y,p,y,o,e,o,n,l,2.0
e,c,g,w,f,a,f,w,b,h,e,b,y,y,y,y,p,n,o,p,k,y,m,2.0
e,k,f,w,t,n,a,w,n,u,e,e,f,s,p,o,p,w,o,e,w,n,l,2.0
p,f,y,p,f,y,f,c,b,p,t,b,f,y,o,o,p,y,n,f,n,y,l,2.0
e,s,y,y,t,y,a,c,n,k,t,b,y,k,g,p,p,n,t,f,y,n,u,2.0
e,b,s,c,f,m,f,c,b,e,e,b,k,s,o,g,p,y,o,p,w,a,l,2.0
e,b,s,n,t,s,f,w,n,k,e,?,k,f,c,n,p,o,n,p,o,a,u,2.0
p,b,g,y,f,p,f,c,b,w,t,e,s,f,g,y,p,y,o,n,k,n,w,2.0
p,f,g,e,f,n,a,c,b,p,e,e,y,y,w,p,p,o,n,f,w,y,p,2.0
e,x,f,g,f,l,f,c,n,g,e,e,k,s,o,e,p,y,t,e,k,y,u,2.0
e,b,s,w,f,m,a,w,n,u,e,?,y,y,n,w,p,y,t,f,h,v,u,2.0
e,f,s,u,t,m,a,w,n,y,e,?,y,k,y,n,p,y,t,p,r,a,d,2.0
p,s,f,w,t,p,f,c,n,k,t,?,k,k,b,o,p,y,o,n,r,y,g,2.0
e,c,y,u,t,c,f,c,b,u,e,c,y,k,y,o,p,w,o,l,w,n,u,2.0
p,k,g,w,t,m,a,c,n,g,t,c,y,f,y,o,p,o,o,e,w,a,u,2.0
p,f,f,e,t,s,f,c,n,w,t,r,y,y,w,y,p,n,o,f,w,a,p,2.0
p,s,s,c,t,a,a,c,b,e,e,b,k,k,e,o,p,o,t,n,h,s,d,2.0
e,c,y,r,f,l,f,c,n,w,e,c,k,y,y,w,p,y,n,e,h,v,d,2.0
e,s,y,b,t,y,f,w,b,o,e,r,f,k,y,b,p,o,o,e,k,c,d,2.0
p,s,y,n,f,y,f,c,n,b,e,c,k,f,b,n,p,w,o,l,o,a,m,2.0
p,k,s,e,f,f,a,c,b,u,e,b,y,y,o,c,p,y,o,l,r,y,m,2.0
e,b,g,p,f,n,a,w,b,h,e,?,s,f,e,o,p,n,o,e,y,y,g,2.0
p,k,f,e,t,y,f,c,n,g,e,e,s,s,n,n,p,n,t,n,r,a,g,2.0
e,k,y,g,f,f,a,w,n,u,t,b,k,f,n,n,p,y,o,l,k,a,d,2.0
p,x,s,p,t,p,a,w,n,p,e,c,k,s,c,y,p,o,t,f,h,s,p,2.0
p,c,g,u,f,l,a,c,b,b,t,r,y,s,o,o,p,w,t,e,w,v,l,2.0
e,x,f,e,f,c,a,w,n,h,t,e,k,s,c,g,p,o,t,n,u,c,w,2.0
e,s,g,y,t,s,a,w,b,w,t,?,s,f,g,w,p,o,n,p,w,a,d,2.0
p,f,f,r,t,m,f,w,b,h,t,e,s,s,o,c,p,n,n,e,r,a,l,2.0
e,b,g,g,t,y,a,w,n,p,t,c,s,k,n,g,p,o,o,l,r,s,l,2.0
e,s,s,e,t,l,a,w,n,o,e,r,y,s,y,w,p,o,o,e,h,c,u,2.0
e,x,s,u,t,f,f,w,b,e,e,?,y,y,o,n,p,y,o,f,n,y,w,2.0
p,f,s,e,f,y,a,c,n,u,t,c,f,s,e,o,p,n,t,l,u,y,p,2.0
e,s,f,b,f,p,a,w,n,e,t,r,k,k,w,g,p,o,t,f,w,v,l,2.0
e,f,s,g,t,l,f,w,n,b,t,?,y,k,p,e,p,y,t,e,o,y,p,2.0
p,k,g,g,f,l,a,w,b,k,t,r,k,f,w,e,p,w,t,n,r,n,m,2.0
e,x,g,e,f,a,a,w,b,r,t,?,y,f,w,o,p,o,o,f,u,y,d,2.0
